"O que diz o texto: '﻿Dispõe sobre o regime jurídico dos servidores públicos civis da União, das autarquias e das fundações públicas federais.'?","PUBLICAÇÃO CONSOLIDADA DA LEI Nº   8.112, DE 11 DE DEZEMBRO DE 1990, DETERMINADA PELO ART.  13 DA LEI Nº 9.527, DE 10 DE DEZEMBRO DE 1997."
O que diz o texto: 'O PRESIDENTE DA REPÚBLICA Faço saber que o Congresso Nacional decreta e eu sanciono a seguinte Lei:'?,Título I
O que diz o texto: 'Capítulo Único'?,Das Disposições Preliminares
"O que diz o texto: 'Art. 1o  Esta Lei institui o Regime Jurídico dos Servidores Públicos Civis da União, das autarquias, inclusive as em regime especial, e das fundações públicas federais.'?","Art. 2o  Para os efeitos desta Lei, servidor é a pessoa legalmente investida em cargo público."
O que diz o texto: 'Art. 3o  Cargo público é o conjunto de atribuições e responsabilidades previstas na estrutura organizacional que devem ser cometidas a um servidor.'?,"Parágrafo único.  Os cargos públicos, acessíveis a todos os brasileiros, são criados por lei, com denominação própria e vencimento pago pelos cofres públicos, para provimento em caráter efetivo ou em comissão."
"O que diz o texto: 'Art. 4o  É proibida a prestação de serviços gratuitos, salvo os casos previstos em lei.'?",Título II
"O que diz o texto: 'Do Provimento, Vacância, Remoção, Redistribuição e Substituição'?",Capítulo I
O que diz o texto: 'Do Provimento'?,Seção I
O que diz o texto: 'Disposições Gerais'?,Art. 5o  São requisitos básicos para investidura em cargo público:
O que diz o texto: 'I - a nacionalidade brasileira;'?,II - o gozo dos direitos políticos;
O que diz o texto: 'III - a quitação com as obrigações militares e eleitorais;'?,IV - o nível de escolaridade exigido para o exercício do cargo;
O que diz o texto: 'V - a idade mínima de dezoito anos;'?,VI - aptidão física e mental.
O que diz o texto: '§ 1o  As atribuições do cargo podem justificar a exigência de outros requisitos estabelecidos em lei.'?,§ 2o  Às pessoas portadoras de deficiência é assegurado o direito de se inscrever em concurso público para provimento de cargo cujas atribuições sejam compatíveis com a deficiência de que são portadoras; para tais pessoas serão reservadas até 20% (vinte por cento) das vagas oferecidas no concurso.
"O que diz o texto: '§ 3o  As universidades e instituições de pesquisa científica e tecnológica federais poderão prover seus cargos com professores, técnicos e cientistas estrangeiros, de acordo com as normas e os procedimentos desta Lei.             (Incluído pela Lei nº 9.515, de 20.11.97)'?",Art. 6o  O provimento dos cargos públicos far-se-á mediante ato da autoridade competente de cada Poder.
O que diz o texto: 'Art. 7o  A investidura em cargo público ocorrerá com a posse.'?,Art. 8o  São formas de provimento de cargo público:
O que diz o texto: 'I - nomeação;'?,II - promoção;
"O que diz o texto: 'III - ascensão;            (Revogado pela Lei nº 9.527, de 10.12.97)'?","IV - transferência;                 (Execução suspensa pela RSF nº 46, de 1997)               (Revogado pela Lei nº 9.527, de 10.12.97)"
O que diz o texto: 'V - readaptação;'?,VI - reversão;
O que diz o texto: 'VII - aproveitamento;'?,VIII - reintegração;
O que diz o texto: 'IX - recondução.'?,Seção II
O que diz o texto: 'Da Nomeação'?,Art. 9o  A nomeação far-se-á:
"O que diz o texto: 'I - em caráter efetivo, quando se tratar de cargo isolado de provimento efetivo ou de carreira;'?","II - em comissão, para cargos de confiança, de livre exoneração."
"O que diz o texto: 'II - em comissão, inclusive na condição de interino, para cargos de confiança vagos.                (Redação dada pela Lei nº 9.527, de 10.12.97)'?","Parágrafo único. A designação por acesso, para função de direção, chefia e assessoramento recairá, exclusivamente, em servidor de carreira, satisfeitos os requisitos de que trata o parágrafo único do art. 10."
"O que diz o texto: 'Parágrafo único.  O servidor ocupante de cargo em comissão ou de natureza especial poderá ser nomeado para ter exercício, interinamente, em outro cargo de confiança, sem prejuízo das atribuições do que atualmente ocupa, hipótese em que deverá optar pela remuneração de um deles durante o período da interinidade.                 (Redação dada pela Lei nº 9.527, de 10.12.97)'?","Art. 10.  A nomeação para cargo de carreira ou cargo isolado de provimento efetivo depende de prévia habilitação em concurso público de provas ou de provas e títulos, obedecidos a ordem de classificação e o prazo de sua validade."
"O que diz o texto: 'Parágrafo único. Os demais requisitos para o ingresso e o desenvolvimento do servidor na carreira, mediante promoção, ascensão e acesso, serão estabelecidos pela lei que fixar as diretrizes do sistema de carreira na Administração Pública Federal e seus regulamentos.'?","Parágrafo único.  Os demais requisitos para o ingresso e o desenvolvimento do servidor na carreira, mediante promoção, serão estabelecidos pela lei que fixar as diretrizes do sistema de carreira na Administração Pública Federal e seus regulamentos.                (Redação dada pela Lei nº 9.527, de 10.12.97)"
O que diz o texto: 'Seção III'?,Do Concurso Público
"O que diz o texto: 'Art. 11. O concurso será de provas ou de provas e títulos, podendo ser realizado em duas etapas, conforme dispuserem a lei e o regulamento do respectivo plano de carreira.'?","Art. 11.  O concurso será de provas ou de provas e títulos, podendo ser realizado em duas etapas, conforme dispuserem a lei e o regulamento do respectivo plano de carreira, condicionada a inscrição do candidato ao pagamento do valor fixado no edital, quando indispensável ao seu custeio, e ressalvadas as hipóteses de isenção nele expressamente previstas.              (Redação dada pela Lei nº 9.527, de 10.12.97)     (Regulamento)"
"O que diz o texto: 'Art. 12.  O concurso público terá validade de até 2 (dois ) anos, podendo ser prorrogado uma única vez, por igual período.'?","§ 1o  O prazo de validade do concurso e as condições de sua realização serão fixados em edital, que será publicado no Diário Oficial da União e em jornal diário de grande circulação."
O que diz o texto: '§ 2o  Não se abrirá novo concurso enquanto houver candidato aprovado em concurso anterior com prazo de validade não expirado.'?,Seção IV
O que diz o texto: 'Da Posse e do Exercício'?,"Art. 13.  A posse dar-se-á pela assinatura do respectivo termo, no qual deverão constar as atribuições, os deveres, as responsabilidades e os direitos inerentes ao cargo ocupado, que não poderão ser alterados unilateralmente, por qualquer das partes, ressalvados os atos de ofício previstos em lei."
"O que diz o texto: '§ 1° A posse ocorrerá no prazo de 30 (trinta) dias contados da publicação do ato de provimento, prorrogável por mais 30 (trinta) dias, a requerimento do interessado.'?","§ 2° Em se tratando de servidor em licença, ou afastado por qualquer outro motivo legal, o prazo será contado do término do impedimento."
"O que diz o texto: '§ 1o  A posse ocorrerá no prazo de trinta dias contados da publicação do ato de provimento.               (Redação dada pela Lei nº 9.527, de 10.12.97)'?","§ 2o  Em se tratando de servidor, que esteja na data de publicação do ato de provimento, em licença prevista nos incisos I, III e V do art. 81, ou afastado nas hipóteses dos incisos I, IV, VI, VIII, alíneas ""a"", ""b"", ""d"", ""e"" e ""f"", IX e X do art. 102, o prazo será contado do término do impedimento.             (Redação dada pela Lei nº 9.527, de 10.12.97)"
O que diz o texto: '§ 3o  A posse poderá dar-se mediante procuração específica.'?,"§ 4° Só haverá posse nos casos de provimento de cargo por nomeação, acesso e ascensão."
"O que diz o texto: '§ 4o  Só haverá posse nos casos de provimento de cargo por nomeação.                   (Redação dada pela Lei nº 9.527, de 10.12.97)'?","§ 5o  No ato da posse, o servidor apresentará declaração de bens e valores que constituem seu patrimônio e declaração quanto ao exercício ou não de outro cargo, emprego ou função pública."
O que diz o texto: '§ 6o  Será tornado sem efeito o ato de provimento se a posse não ocorrer no prazo previsto no § 1o deste artigo.'?,Art. 14.  A posse em cargo público dependerá de prévia inspeção médica oficial.
O que diz o texto: 'Parágrafo único.  Só poderá ser empossado aquele que for julgado apto física e mentalmente para o exercício do cargo.'?,Art. 15. Exercício é o efetivo desempenho das atribuições do cargo.
"O que diz o texto: '§ 1° É de 30 (trinta) dias o prazo para o servidor entrar em exercício, contados da data da posse.'?",§ 2° Será exonerado o servidor empossado que não entrar em exercício no prazo previsto no parágrafo anterior.
O que diz o texto: '§ 3° À autoridade competente do órgão ou entidade para onde for designado o servidor compete dar-lhe exercício.'?,"Art. 15.  Exercício é o efetivo desempenho das atribuições do cargo público ou da função de confiança.                 (Redação dada pela Lei nº 9.527, de 10.12.97)"
"O que diz o texto: '§ 1o  É de quinze dias o prazo para o servidor empossado em cargo público entrar em exercício, contados da data da posse.               (Redação dada pela Lei nº 9.527, de 10.12.97)'?","§ 2o  O servidor será exonerado do cargo ou será tornado sem efeito o ato de sua designação para função de confiança, se não entrar em exercício nos prazos previstos neste artigo, observado o disposto no art. 18.             (Redação dada pela Lei nº 9.527, de 10.12.97)"
"O que diz o texto: '§ 3o  À autoridade competente do órgão ou entidade para onde for nomeado ou designado o servidor compete dar-lhe exercício.               (Redação dada pela Lei nº 9.527, de 10.12.97)'?","§ 4o  O início do exercício de função de confiança coincidirá com a data de publicação do ato de designação, salvo quando o servidor estiver em licença ou afastado por qualquer outro motivo legal, hipótese em que recairá no primeiro dia útil após o término do impedimento, que não poderá exceder a trinta dias da publicação.               (Incluído pela Lei nº 9.527, de 10.12.97)"
"O que diz o texto: 'Art. 16.  O início, a suspensão, a interrupção e o reinício do exercício serão registrados no assentamento individual do servidor.'?","Parágrafo único.  Ao entrar em exercício, o servidor apresentará ao órgão competente os elementos necessários ao seu assentamento individual."
"O que diz o texto: 'Art. 17. A promoção ou a ascensão não interrompem o tempo de exercício, que é contado no novo posicionamento na carreira a partir da data da publicação do ato que promover ou ascender o servidor.'?","Art. 17.  A promoção não interrompe o tempo de exercício, que é contado no novo posicionamento na carreira a partir da data de publicação do ato que promover o servidor.                (Redação dada pela Lei nº 9.527, de 10.12.97)"
"O que diz o texto: 'Art. 18. O servidor transferido, removido, redistribuído, requisitado ou cedido, que deva ter exercício em outra localidade, terá 30 (trinta) dias de prazo para entrar em exercício, incluído nesse prazo o tempo necessário ao deslocamento para a nova sede.'?","Parágrafo único. Na hipótese de o servidor encontrar-se afastado legalmente, o prazo a que se refere este artigo será contado a partir do término do afastamento."
"O que diz o texto: 'Art. 18.  O servidor que deva ter exercício em outro município em razão de ter sido removido, redistribuído, requisitado, cedido ou posto em exercício provisório terá, no mínimo, dez e, no máximo, trinta dias de prazo, contados da publicação do ato, para a retomada do efetivo desempenho das atribuições do cargo, incluído nesse prazo o tempo necessário para o deslocamento para a nova sede.             (Redação dada pela Lei nº 9.527, de 10.12.97)'?","§ 1o  Na hipótese de o servidor encontrar-se em licença ou afastado legalmente, o prazo a que se refere este artigo será contado a partir do término do impedimento.             (Parágrafo renumerado e alterado pela Lei nº 9.527, de 10.12.97)"
"O que diz o texto: '§ 2o  É facultado ao servidor declinar dos prazos estabelecidos no caput.              (Incluído pela Lei nº 9.527, de 10.12.97)'?","Art. 19. O ocupante de cargo de provimento efetivo fica sujeito a 40 (quarenta) horas semanais de trabalho, salvo quando a lei estabelecer duração diversa."
"O que diz o texto: 'Parágrafo único. Além do cumprimento do estabelecido neste artigo, o exercício de cargo em comissão exigirá de seu ocupante integral dedicação ao serviço, podendo o servidor ser convocado sempre que houver interesse da administração.'?","Art. 19.  Os servidores cumprirão jornada de trabalho fixada em razão das atribuições pertinentes aos respectivos cargos, respeitada a duração máxima do trabalho semanal de quarenta horas e observados os limites mínimo e máximo de seis horas e oito horas diárias, respectivamente.               (Redação dada pela Lei nº 8.270, de 17.12.91)"
"O que diz o texto: '§ 1° O ocupante de cargo em comissão ou função de confiança é submetido ao regime de integral dedicação ao serviço, podendo ser convocado sempre que houver interesse da Administração.              (Incluído pela Lei nº 8.270, de 17.12.91)'?","§ 1o  O ocupante de cargo em comissão ou função de confiança submete-se a regime de integral dedicação ao serviço, observado o disposto no art. 120, podendo ser convocado sempre que houver interesse da Administração.              (Redação dada pela Lei nº 9.527, de 10.12.97)"
"O que diz o texto: '§ 2o  O disposto neste artigo não se aplica a duração de trabalho estabelecida em leis especiais.                (Incluído pela Lei nº 8.270, de 17.12.91)'?","Art. 20.  Ao entrar em exercício, o servidor nomeado para cargo de provimento efetivo ficará sujeito a estágio probatório por período de 24 (vinte e quatro) meses, durante o qual a sua aptidão e capacidade serão objeto de avaliação para o desempenho do cargo, observados os seguinte fatores:                  (Vide EMC nº 19)"
"O que diz o texto: 'Art. 20.  Ao entrar em exercício, o servidor nomeado para cargo de provimento efetivo ficará sujeito a estágio probatório por período de trinta e seis meses durante o qual a sua aptidão e capacidade serão objeto de avaliação para o desempenho do cargo, observados os seguinte fatores:      (Redação dada pela Medida Provisória nº 431, de 2008).'?",I - assiduidade;
O que diz o texto: 'II - disciplina;'?,III - capacidade de iniciativa;
O que diz o texto: 'IV - produtividade;'?,V- responsabilidade.
"O que diz o texto: 'Art. 20.  Ao entrar em exercício, o servidor nomeado para cargo de provimento efetivo ficará sujeito a estágio probatório por período de 24 (vinte e quatro) meses, durante o qual a sua aptidão e capacidade serão objeto de avaliação para o desempenho do cargo, observados os seguinte fatores:            (Vide EMC nº 19)'?",I - assiduidade;
O que diz o texto: 'II - disciplina;'?,III - capacidade de iniciativa;
O que diz o texto: 'IV - produtividade;'?,V- responsabilidade.
"O que diz o texto: '§ 1o  Quatro meses antes de findo o período do estágio probatório, será submetida à homologação da autoridade competente a avaliação do desempenho do servidor, realizada de acordo com o que dispuser a lei ou o regulamento do sistema de carreira, sem prejuízo da continuidade de apuração dos fatores enumerados nos incisos I a V deste artigo.'?","§ 1o  Quatro meses antes de findo o período do estágio probatório, será submetida à homologação da autoridade competente a avaliação do desempenho do servidor, realizada por comissão constituída para essa finalidade, de acordo com o que dispuser a lei ou o regulamento da respectiva carreira ou cargo, sem prejuízo da continuidade de apuração dos fatores enumerados nos incisos I a V deste artigo.               (Redação dada pela Medida Provisória nº 431, de 2008)."
"O que diz o texto: '§ 1o  4 (quatro) meses antes de findo o período do estágio probatório, será submetida à homologação da autoridade competente a avaliação do desempenho do servidor, realizada por comissão constituída para essa finalidade, de acordo com o que dispuser a lei ou o regulamento da respectiva carreira ou cargo, sem prejuízo da continuidade de apuração dos fatores enumerados nos incisos I a V do caput deste artigo.           (Redação dada pela Lei nº 11.784, de 2008'?","§ 2o  O servidor não aprovado no estágio probatório será exonerado ou, se estável, reconduzido ao cargo anteriormente ocupado, observado o disposto no parágrafo único do art. 29."
"O que diz o texto: '§ 3o  O servidor em estágio probatório poderá exercer quaisquer cargos de provimento em comissão ou funções de direção, chefia ou assessoramento no órgão ou entidade de lotação, e somente poderá ser cedido a outro órgão ou entidade para ocupar cargos de Natureza Especial, cargos de provimento em comissão do Grupo-Direção e Assessoramento Superiores - DAS, de níveis 6, 5 e 4, ou equivalentes.             (Incluído pela Lei nº 9.527, de 10.12.97)'?","§ 4o  Ao servidor em estágio probatório somente poderão ser concedidas as licenças e os afastamentos previstos nos arts. 81, incisos I a IV, 94, 95 e 96, bem assim afastamento para participar de curso de formação decorrente de aprovação em concurso para outro cargo na Administração Pública Federal.            (Incluído pela Lei nº 9.527, de 10.12.97)"
"O que diz o texto: '§ 5o  O estágio probatório ficará suspenso durante as licenças e os afastamentos previstos nos arts. 83, 84, § 1o, 86 e 96, bem assim na hipótese de participação em curso de formação, e será retomado a partir do término do impedimento.              (Incluído pela Lei nº 9.527, de 10.12.97)'?",Seção V
O que diz o texto: 'Da Estabilidade'?,Art. 21.  O servidor habilitado em concurso público e empossado em cargo de provimento efetivo adquirirá estabilidade no serviço público ao completar 2 (dois) anos de efetivo exercício.                (prazo 3 anos - vide EMC nº 19)
O que diz o texto: 'Art. 22.  O servidor estável só perderá o cargo em virtude de sentença judicial transitada em julgado ou de processo administrativo disciplinar no qual lhe seja assegurada ampla defesa.'?,Seção VI
O que diz o texto: 'Da Transferência'?,"Art. 23. Transferência é a passagem do servidor estável de cargo efetivo para outro de igual denominação, pertencente a quadro de pessoal diverso, de órgão ou instituição do mesmo Poder.              (Execução suspensa pela RSF nº 46, de 1997)"
"O que diz o texto: '§ 1° A transferência ocorrerá de ofício ou a pedido do servidor, atendido o interesse do serviço, mediante o preenchimento de vaga.               (Execução suspensa pela RSF nº 46, de 1997)'?","§ 2° Será admitida a transferência de servidor ocupante de cargo de quadro em extinção para igual situação em quadro de outro órgão ou entidade.                 (Execução suspensa pela RSF nº 46, de 1997)             (Revogado pela Lei nº 9.527, de 10.12.97)"
O que diz o texto: 'Seção VII'?,Da Readaptação
O que diz o texto: 'Art. 24.  Readaptação é a investidura do servidor em cargo de atribuições e responsabilidades compatíveis com a limitação que tenha sofrido em sua capacidade física ou mental verificada em inspeção médica.'?,"§ 1o  Se julgado incapaz para o serviço público, o readaptando será aposentado."
"O que diz o texto: '§ 2° A readaptação será efetivada em cargo de atribuições afins, respeitada a habilitação exigida.'?","§ 2o  A readaptação será efetivada em cargo de atribuições afins, respeitada a habilitação exigida, nível de escolaridade e equivalência de vencimentos e, na hipótese de inexistência de cargo vago, o servidor exercerá suas atribuições como excedente, até a ocorrência de vaga.                 (Redação dada pela Lei nº 9.527, de 10.12.97)"
O que diz o texto: 'Seção VIII'?,Da Reversão
"O que diz o texto: '(Regulamento Dec. nº 3.644, de 30.11.2000)'?","Art. 25. Reversão é o retorno à atividade de servidor aposentado por invalidez, quando, por junta médica oficial, forem declarados insubsistentes os motivos da aposentadoria."
"O que diz o texto: 'Art. 25.  Reversão é o retorno à atividade de servidor aposentado:                (Redação dada pela Medida Provisória nº 2.225-45, de 4.9.2001)'?","I - por invalidez, quando junta médica oficial declarar insubsistentes os motivos da aposentadoria; ou                   (Incluído pela Medida Provisória nº 2.225-45, de 4.9.2001)"
"O que diz o texto: 'II - no interesse da administração, desde que:                  (Incluído pela Medida Provisória nº 2.225-45, de 4.9.2001)'?","a) tenha solicitado a reversão;               (Incluído pela Medida Provisória nº 2.225-45, de 4.9.2001)"
"O que diz o texto: 'b) a aposentadoria tenha sido voluntária;                 (Incluído pela Medida Provisória nº 2.225-45, de 4.9.2001)'?","c) estável quando na atividade;                 (Incluído pela Medida Provisória nº 2.225-45, de 4.9.2001)"
"O que diz o texto: 'd) a aposentadoria tenha ocorrido nos cinco anos anteriores à solicitação;                (Incluído pela Medida Provisória nº 2.225-45, de 4.9.2001)'?","e) haja cargo vago.                     (Incluído pela Medida Provisória nº 2.225-45, de 4.9.2001)"
"O que diz o texto: '§ 1o  A reversão far-se-á no mesmo cargo ou no cargo resultante de sua transformação.                   (Incluído pela Medida Provisória nº 2.225-45, de 4.9.2001)'?","§ 2o  O tempo em que o servidor estiver em exercício será considerado para concessão da aposentadoria.                       (Incluído pela Medida Provisória nº 2.225-45, de 4.9.2001)"
"O que diz o texto: '§ 3o  No caso do inciso I, encontrando-se provido o cargo, o servidor exercerá suas atribuições como excedente, até a ocorrência de vaga.                 (Incluído pela Medida Provisória nº 2.225-45, de 4.9.2001)'?","§ 4o  O servidor que retornar à atividade por interesse da administração perceberá, em substituição aos proventos da aposentadoria, a remuneração do cargo que voltar a exercer, inclusive com as vantagens de natureza pessoal que percebia anteriormente à aposentadoria.                 (Incluído pela Medida Provisória nº 2.225-45, de 4.9.2001)"
"O que diz o texto: '§ 5o  O servidor de que trata o inciso II somente terá os proventos calculados com base nas regras atuais se permanecer pelo menos cinco anos no cargo.                     (Incluído pela Medida Provisória nº 2.225-45, de 4.9.2001)'?","§ 6o  O Poder Executivo regulamentará o disposto neste artigo.                   (Incluído pela Medida Provisória nº 2.225-45, de 4.9.2001)"
"O que diz o texto: 'Art. 26.  A reversão far-se-á no mesmo cargo ou no cargo resultante de sua transformação.                  (Revogado pela Medida Provisória nº 2.225-45, de 4.9.2001)'?","Parágrafo único.  Encontrando-se provido o cargo, o servidor exercerá suas atribuições como excedente, até a ocorrência de vaga.                    (Revogado pela Medida Provisória nº 2.225-45, de 4.9.2001)"
